state_uts,x,y
Andhra Pradesh,-74.0, -128.0
Arunachal Pradesh,223.0, 152.0
Assam,195.0, 108.0
Bihar,59.0, 83.0
Chhattisgarh,-20.0, -4.0
Goa,-173.0, -125.0
Gujarat,-212.0, 42.0
Haryana,-114.0, 161.0
Himachal Pradesh,-96.0, 213.0
Jharkhand,48.0, 40.0
Karnataka,-140.0, -140.0
Kerala,-125.0, -243.0
Madhya Pradesh,-92.0, 36.0
Maharashtra,-152.0, -37.0
Manipur,217.0, 73.0
Meghalaya,165.0, 83.0
Mizoram,196.0, 44.0
Nagaland,230.0, 99.0
Odisha,39.0, -17.0
Punjab,-130.0, 195.0
Rajasthan,-158.0, 121.0
Sikkim,110.0, 128.0
Tamil Nadu,-82.0, -220.0
Telangana,-69.0, -83.0
Tripura, 173.0, 51.0
Uttar Pradesh,-41.0, 109.0
Uttarakhand,-57.0, 174.0
West Bengal,104.0, 33.0
Andaman And Nicobar Islands,213.0, -242.0
Chandigarh,-132.0, 193.0
Dadra And Nagar Haveli And Daman And Diu,-213.0, -7.0
Delhi,-118.0, 160.0
Jammu And Kashmir,-137.0, 254.0
Ladakh,-122.0, 296.0
Lakshadweep,-236.0, -228.0
Puducherry,-58.0, -204.0
